elapsed_time_s,tracking_error_m
3.579,0.0059
3.584,0.0033
3.589,0.0059
3.594,0.0033
3.599,0.0058
3.604,0.0034
3.609,0.0058
3.614,0.0034
3.619,0.0058
3.624,0.0034
3.629,0.0058
3.634,0.0034
3.639,0.0058
3.644,0.0034
3.649,0.0058
3.654,0.0035
3.659,0.0058
3.664,0.0035
3.669,0.0058
3.674,0.0035
3.679,0.0058
3.684,0.0035
3.689,0.0058
3.694,0.0036
3.699,0.0058
3.704,0.0036
3.709,0.0058
3.714,0.0036
3.719,0.0058
3.724,0.0037
3.730,0.0058
3.734,0.0037
3.740,0.0058
3.744,0.0037
3.749,0.0058
3.754,0.0037
3.759,0.0058
3.765,0.0037
3.769,0.0058
3.774,0.0037
3.779,0.0058
3.784,0.0037
3.789,0.0059
3.794,0.0037
3.799,0.0059
3.804,0.0038
3.809,0.0059
3.815,0.0038
3.819,0.0058
3.824,0.0038
3.829,0.0059
3.834,0.0038
3.839,0.0059
3.844,0.0038
3.849,0.0059
3.854,0.0038
3.859,0.0059
3.864,0.0039
3.870,0.0059
3.874,0.0039
3.879,0.0059
3.884,0.0039
3.889,0.0059
3.894,0.0039
3.899,0.0059
3.904,0.0039
3.909,0.0059
3.914,0.0039
3.919,0.0059
3.924,0.0039
3.929,0.0059
3.934,0.0040
3.939,0.0059
3.944,0.0040
3.949,0.0059
3.954,0.0040
3.959,0.0059
3.964,0.0040
3.969,0.0059
3.975,0.0040
3.979,0.0059
3.984,0.0041
3.989,0.0059
3.995,0.0041
3.999,0.0058
4.004,0.0041
4.009,0.0059
4.014,0.0041
4.019,0.0059
4.024,0.0041
4.029,0.0059
4.034,0.0041
4.039,0.0059
4.044,0.0041
4.049,0.0059
4.054,0.0042
4.059,0.0059
4.064,0.0042
4.069,0.0059
4.074,0.0042
4.079,0.0059
4.084,0.0042
4.089,0.0058
4.095,0.0042
4.099,0.0058
4.104,0.0042
4.109,0.0058
4.114,0.0043
4.119,0.0058
4.124,0.0043
4.129,0.0058
4.134,0.0043
4.139,0.0058
4.144,0.0043
4.149,0.0057
4.154,0.0043
4.159,0.0057
4.164,0.0044
4.169,0.0057
4.174,0.0044
4.179,0.0056
4.184,0.0043
4.189,0.0056
4.194,0.0044
4.199,0.0056
4.204,0.0044
4.209,0.0055
4.214,0.0044
4.219,0.0055
4.224,0.0044
4.229,0.0054
4.234,0.0045
4.239,0.0054
4.244,0.0045
4.249,0.0054
4.254,0.0045
4.259,0.0053
4.264,0.0045
4.269,0.0052
4.274,0.0045
4.279,0.0052
4.284,0.0045
4.289,0.0051
4.294,0.0046
4.299,0.0051
4.304,0.0045
4.309,0.0050
4.314,0.0046
4.319,0.0050
4.324,0.0046
4.329,0.0049
4.334,0.0046
4.339,0.0049
4.344,0.0046
4.349,0.0048
4.354,0.0046
4.359,0.0047
4.364,0.0046
4.369,0.0047
4.374,0.0047
4.379,0.0046
4.384,0.0047
4.389,0.0046
4.394,0.0047
4.399,0.0045
4.404,0.0047
4.409,0.0044
4.414,0.0047
4.419,0.0043
4.424,0.0047
4.429,0.0043
4.434,0.0047
4.439,0.0043
4.444,0.0047
4.449,0.0042
4.454,0.0048
4.459,0.0042
4.464,0.0048
4.470,0.0041
4.474,0.0048
4.479,0.0041
4.484,0.0048
4.489,0.0040
4.494,0.0048
4.499,0.0040
4.504,0.0048
4.509,0.0040
4.514,0.0048
4.519,0.0039
4.524,0.0049
4.529,0.0039
4.534,0.0049
4.539,0.0039
4.544,0.0049
4.549,0.0039
4.554,0.0049
4.559,0.0039
4.564,0.0049
4.569,0.0039
4.574,0.0049
4.579,0.0039
4.584,0.0050
4.589,0.0039
4.594,0.0049
4.599,0.0039
4.604,0.0049
4.609,0.0039
4.614,0.0050
4.619,0.0040
4.625,0.0050
4.629,0.0040
4.634,0.0050
4.639,0.0040
4.644,0.0050
4.649,0.0041
4.654,0.0050
4.659,0.0041
4.664,0.0050
4.669,0.0042
4.674,0.0050
4.679,0.0042
4.684,0.0050
4.689,0.0043
4.694,0.0050
4.699,0.0043
4.704,0.0050
4.709,0.0044
